experiment_timestep,episode,episode_score,timestep_episode,best_score,accumulated_score
140400,90,0.0,54,4.0,116.0
141300,90,2.0,954,4.0,118.0
141508,90,2.0,1162,4.0,118.0
142200,91,0.0,692,4.0,118.0
143100,91,2.0,1592,4.0,120.0
143906,91,2.0,2398,4.0,120.0
144000,92,0.0,94,4.0,120.0
144864,92,0.0,958,4.0,120.0
144900,93,0.0,36,4.0,120.0
145800,93,3.0,936,4.0,123.0
146362,93,3.0,1498,4.0,123.0
146700,94,0.0,338,4.0,123.0
147600,94,0.0,1238,4.0,123.0
148160,94,0.0,1798,4.0,123.0
148500,95,1.0,340,4.0,124.0
149217,95,2.0,1057,4.0,125.0
149400,96,0.0,183,4.0,125.0
150300,96,2.0,1083,4.0,127.0
150495,96,2.0,1278,4.0,127.0
151200,97,0.0,705,4.0,127.0
152100,97,0.0,1605,4.0,127.0
152775,97,2.0,2280,4.0,129.0
153000,98,0.0,225,4.0,129.0
153900,98,0.0,1125,4.0,129.0
154033,98,0.0,1258,4.0,129.0
154800,99,0.0,767,4.0,129.0
155700,99,0.0,1667,4.0,129.0
155885,99,1.0,1852,4.0,130.0
156600,100,1.0,715,4.0,131.0
157500,100,2.0,1615,4.0,132.0
157871,100,2.0,1986,4.0,132.0
158400,101,1.0,529,4.0,133.0
159300,101,3.0,1429,4.0,135.0
159369,101,3.0,1498,4.0,135.0
160200,102,1.0,831,4.0,136.0
160387,102,1.0,1018,4.0,136.0
161100,103,0.0,713,4.0,136.0
161945,103,0.0,1558,4.0,136.0
162000,104,0.0,55,4.0,136.0
162900,104,0.0,955,4.0,136.0
163323,104,0.0,1378,4.0,136.0
163800,105,1.0,477,4.0,137.0
163989,105,1.0,666,4.0,137.0
164630,106,0.0,641,4.0,137.0
164700,107,0.0,70,4.0,137.0
165596,107,0.0,966,4.0,137.0
165600,108,0.0,4,4.0,137.0
166500,108,2.0,904,4.0,139.0
166614,108,2.0,1018,4.0,139.0
167400,109,0.0,786,4.0,139.0
167626,109,1.0,1012,4.0,140.0
168300,110,1.0,674,4.0,141.0
169200,110,7.0,1574,7.0,147.0
169202,110,7.0,1576,7.0,147.0
170100,111,0.0,898,7.0,147.0
171000,111,0.0,1798,7.0,147.0
171832,111,1.0,2630,7.0,148.0
171900,112,0.0,68,7.0,148.0
172800,112,1.0,968,7.0,149.0
173700,112,1.0,1868,7.0,149.0
173930,112,1.0,2098,7.0,149.0
174600,113,1.0,670,7.0,150.0
175500,113,2.0,1570,7.0,151.0
176028,113,2.0,2098,7.0,151.0
176400,114,0.0,372,7.0,151.0
176926,114,0.0,898,7.0,151.0
177300,115,0.0,374,7.0,151.0
177875,115,0.0,949,7.0,151.0
178200,116,0.0,325,7.0,151.0
179100,116,1.0,1225,7.0,152.0
179232,116,1.0,1357,7.0,152.0
180000,117,0.0,768,7.0,152.0
180900,117,0.0,1668,7.0,152.0
180998,117,0.0,1766,7.0,152.0
181800,118,0.0,802,7.0,152.0
182700,118,1.0,1702,7.0,153.0
183036,118,1.0,2038,7.0,153.0
183600,119,2.0,564,7.0,155.0
184294,119,2.0,1258,7.0,155.0
184500,120,0.0,206,7.0,155.0
185400,120,0.0,1106,7.0,155.0
186300,120,1.0,2006,7.0,156.0
186452,120,1.0,2158,7.0,156.0
187200,121,2.0,748,7.0,158.0
187350,121,2.0,898,7.0,158.0
188100,122,0.0,750,7.0,158.0
188765,122,2.0,1415,7.0,160.0
189000,123,0.0,235,7.0,160.0
189867,123,0.0,1102,7.0,160.0
189900,124,0.0,33,7.0,160.0
190800,124,0.0,933,7.0,160.0
190885,124,0.0,1018,7.0,160.0
191700,125,0.0,815,7.0,160.0
192137,125,1.0,1252,7.0,161.0
192600,126,1.0,463,7.0,162.0
193403,126,1.0,1266,7.0,162.0
193500,127,0.0,97,7.0,162.0
194400,127,1.0,997,7.0,163.0
195081,127,1.0,1678,7.0,163.0
195300,128,0.0,219,7.0,163.0
196099,128,1.0,1018,7.0,164.0
196200,129,0.0,101,7.0,164.0
197100,129,0.0,1001,7.0,164.0
198000,129,2.0,1901,7.0,166.0
198068,129,2.0,1969,7.0,166.0
198900,130,1.0,832,7.0,167.0
199694,130,1.0,1626,7.0,167.0
199800,131,0.0,106,7.0,167.0
200700,131,2.0,1006,7.0,169.0
200875,131,3.0,1181,7.0,170.0
201600,132,1.0,725,7.0,171.0
202500,132,1.0,1625,7.0,171.0
202546,132,1.0,1671,7.0,171.0
203400,133,1.0,854,7.0,172.0
204300,133,2.0,1754,7.0,173.0
204968,133,2.0,2422,7.0,173.0
205200,134,0.0,232,7.0,173.0
206100,134,1.0,1132,7.0,174.0
206286,134,1.0,1318,7.0,174.0
207000,135,1.0,714,7.0,175.0
207664,135,1.0,1378,7.0,175.0
207900,136,0.0,236,7.0,175.0
208800,136,2.0,1136,7.0,177.0
209404,136,3.0,1740,7.0,178.0
209700,137,0.0,296,7.0,178.0
210600,137,0.0,1196,7.0,178.0
211500,137,0.0,2096,7.0,178.0
211779,137,2.0,2375,7.0,180.0
212400,138,1.0,621,7.0,181.0
213300,138,1.0,1521,7.0,181.0
213661,138,1.0,1882,7.0,181.0
214200,139,0.0,539,7.0,181.0
215100,139,1.0,1439,7.0,182.0
216000,139,1.0,2339,7.0,182.0
216059,139,1.0,2398,7.0,182.0
216900,140,1.0,841,7.0,183.0
217800,140,1.0,1741,7.0,183.0
218196,140,2.0,2137,7.0,184.0
218700,141,1.0,504,7.0,185.0
219600,141,1.0,1404,7.0,185.0
220074,141,1.0,1878,7.0,185.0
220500,142,0.0,426,7.0,185.0
221400,142,1.0,1326,7.0,186.0
222114,142,2.0,2040,7.0,187.0
222300,143,0.0,186,7.0,187.0
223200,143,0.0,1086,7.0,187.0
223252,143,0.0,1138,7.0,187.0
224100,144,0.0,848,7.0,187.0
225000,144,1.0,1748,7.0,188.0
225110,144,1.0,1858,7.0,188.0
225900,145,1.0,790,7.0,189.0
226111,145,2.0,1001,7.0,190.0
226800,146,1.0,689,7.0,191.0
226967,146,2.0,856,7.0,192.0
227700,147,0.0,733,7.0,192.0
228600,147,1.0,1633,7.0,193.0
229125,147,2.0,2158,7.0,194.0
229500,148,0.0,375,7.0,194.0
230400,148,2.0,1275,7.0,196.0
230803,148,2.0,1678,7.0,196.0
231300,149,0.0,497,7.0,196.0
232061,149,0.0,1258,7.0,196.0
232200,150,0.0,139,7.0,196.0
233100,150,2.0,1039,7.0,198.0
233259,150,2.0,1198,7.0,198.0
234000,151,0.0,741,7.0,198.0
234900,151,1.0,1641,7.0,199.0
235057,151,1.0,1798,7.0,199.0
235800,152,0.0,743,7.0,199.0
236489,152,1.0,1432,7.0,200.0
236700,153,0.0,211,7.0,200.0
237600,153,1.0,1111,7.0,201.0
238009,153,1.0,1520,7.0,201.0
238500,154,0.0,491,7.0,201.0
239255,154,1.0,1246,7.0,202.0
239400,155,0.0,145,7.0,202.0
240300,155,0.0,1045,7.0,202.0
241113,155,1.0,1858,7.0,203.0
241200,156,0.0,87,7.0,203.0
242100,156,2.0,987,7.0,205.0
242244,156,3.0,1131,7.0,206.0
242970,157,0.0,726,7.0,206.0
243000,158,0.0,30,7.0,206.0
243900,158,1.0,930,7.0,207.0
244387,158,2.0,1417,7.0,208.0
244800,159,0.0,413,7.0,208.0
245700,159,0.0,1313,7.0,208.0
245845,159,0.0,1458,7.0,208.0
246600,160,0.0,755,7.0,208.0
246651,160,0.0,806,7.0,208.0
247500,161,0.0,849,7.0,208.0
247761,161,0.0,1110,7.0,208.0
248400,162,1.0,639,7.0,209.0
249139,162,3.0,1378,7.0,211.0
249300,163,0.0,161,7.0,211.0
250200,163,0.0,1061,7.0,211.0
250457,163,0.0,1318,7.0,211.0
251100,164,1.0,643,7.0,212.0
252000,164,2.0,1543,7.0,213.0
252801,164,3.0,2344,7.0,214.0
252900,165,0.0,99,7.0,214.0
253800,165,2.0,999,7.0,216.0
254415,165,2.0,1614,7.0,216.0
254700,166,0.0,285,7.0,216.0
255600,166,1.0,1185,7.0,217.0
256500,166,1.0,2085,7.0,217.0
256676,166,2.0,2261,7.0,218.0
257400,167,0.0,724,7.0,218.0
258300,167,1.0,1624,7.0,219.0
259200,167,1.0,2524,7.0,219.0
259572,167,2.0,2896,7.0,220.0
260100,168,1.0,528,7.0,221.0
261000,168,1.0,1428,7.0,221.0
261229,168,2.0,1657,7.0,222.0
261900,169,1.0,671,7.0,223.0
262800,169,2.0,1571,7.0,224.0
262867,169,2.0,1638,7.0,224.0
263700,170,0.0,833,7.0,224.0
264065,170,0.0,1198,7.0,224.0
264600,171,0.0,535,7.0,224.0
265500,171,1.0,1435,7.0,225.0
266400,171,1.0,2335,7.0,225.0
267125,171,2.0,3060,7.0,226.0
267300,172,0.0,175,7.0,226.0
268200,172,0.0,1075,7.0,226.0
268720,172,0.0,1595,7.0,226.0
269100,173,1.0,380,7.0,227.0
270000,173,2.0,1280,7.0,228.0
270552,173,7.0,1832,7.0,233.0
270900,174,0.0,348,7.0,233.0
271800,174,0.0,1248,7.0,233.0
272402,174,0.0,1850,7.0,233.0
272700,175,0.0,298,7.0,233.0
273360,175,0.0,958,7.0,233.0
273600,176,0.0,240,7.0,233.0
274500,176,0.0,1140,7.0,233.0
274558,176,0.0,1198,7.0,233.0
275400,177,0.0,842,7.0,233.0
276170,177,1.0,1612,7.0,234.0
276300,178,0.0,130,7.0,234.0
277200,178,1.0,1030,7.0,235.0
277475,178,2.0,1305,7.0,236.0
278100,179,0.0,625,7.0,236.0
279000,179,1.0,1525,7.0,237.0
279113,179,1.0,1638,7.0,237.0
279900,180,1.0,787,7.0,238.0
280251,180,1.0,1138,7.0,238.0
280800,181,0.0,549,7.0,238.0
281449,181,1.0,1198,7.0,239.0
281700,182,1.0,251,7.0,240.0
282600,182,2.0,1151,7.0,241.0
283187,182,3.0,1738,7.0,242.0
283500,183,0.0,313,7.0,242.0
284400,183,1.0,1213,7.0,243.0
284565,183,1.0,1378,7.0,243.0
285300,184,0.0,735,7.0,243.0
