experiment_timestep,episode,episode_score,timestep_episode,best_score,accumulated_score
130500,59,30.0,972,475.0,6850.0
131400,59,35.0,1872,475.0,6855.0
132300,59,100.0,2772,475.0,6920.0
132358,59,100.0,2830,475.0,6920.0
133200,60,60.0,842,475.0,6980.0
134100,60,75.0,1742,475.0,6995.0
135000,60,140.0,2642,475.0,7060.0
135900,60,160.0,3542,475.0,7080.0
136010,60,160.0,3652,475.0,7080.0
136800,61,5.0,790,475.0,7085.0
137700,61,55.0,1690,475.0,7135.0
138600,61,70.0,2590,475.0,7150.0
139420,61,100.0,3410,475.0,7180.0
139500,62,0.0,80,475.0,7180.0
140400,62,30.0,980,475.0,7210.0
141300,62,55.0,1880,475.0,7235.0
141494,62,55.0,2074,475.0,7235.0
142200,63,30.0,706,475.0,7265.0
143028,63,45.0,1534,475.0,7280.0
143100,64,0.0,72,475.0,7280.0
144000,64,5.0,972,475.0,7285.0
144172,64,15.0,1144,475.0,7295.0
144900,65,25.0,728,475.0,7320.0
145800,65,90.0,1628,475.0,7385.0
146198,65,90.0,2026,475.0,7385.0
146700,66,40.0,502,475.0,7425.0
147600,66,70.0,1402,475.0,7455.0
147692,66,70.0,1494,475.0,7455.0
148500,67,15.0,808,475.0,7470.0
149400,67,55.0,1708,475.0,7510.0
149822,67,80.0,2130,475.0,7535.0
150300,68,5.0,478,475.0,7540.0
151200,68,95.0,1378,475.0,7630.0
151580,68,95.0,1758,475.0,7630.0
152100,69,20.0,520,475.0,7650.0
153000,69,55.0,1420,475.0,7685.0
153900,69,110.0,2320,475.0,7740.0
154800,69,170.0,3220,475.0,7800.0
154816,69,170.0,3236,475.0,7800.0
155700,70,25.0,884,475.0,7825.0
156600,70,25.0,1784,475.0,7825.0
157500,70,75.0,2684,475.0,7875.0
157548,70,75.0,2732,475.0,7875.0
158400,71,45.0,852,475.0,7920.0
159300,71,50.0,1752,475.0,7925.0
160200,71,195.0,2652,475.0,8070.0
161100,71,195.0,3552,475.0,8070.0
161238,71,195.0,3690,475.0,8070.0
162000,72,15.0,762,475.0,8085.0
162900,72,30.0,1662,475.0,8100.0
163246,72,75.0,2008,475.0,8145.0
163800,73,50.0,554,475.0,8195.0
164700,73,75.0,1454,475.0,8220.0
165272,73,105.0,2026,475.0,8250.0
165600,74,0.0,328,475.0,8250.0
166500,74,30.0,1228,475.0,8280.0
167194,74,75.0,1922,475.0,8325.0
167400,75,0.0,206,475.0,8325.0
168300,75,60.0,1106,475.0,8385.0
169200,75,130.0,2006,475.0,8455.0
170100,75,140.0,2906,475.0,8465.0
170930,75,200.0,3736,475.0,8525.0
171000,76,0.0,70,475.0,8525.0
171900,76,0.0,970,475.0,8525.0
172268,76,0.0,1338,475.0,8525.0
172800,77,10.0,532,475.0,8535.0
173700,77,15.0,1432,475.0,8540.0
174600,77,80.0,2332,475.0,8605.0
175500,77,120.0,3232,475.0,8645.0
175832,77,185.0,3564,475.0,8710.0
176400,78,30.0,568,475.0,8740.0
177300,78,85.0,1468,475.0,8795.0
177832,78,140.0,2000,475.0,8850.0
178200,79,5.0,368,475.0,8855.0
179100,79,60.0,1268,475.0,8910.0
179906,79,110.0,2074,475.0,8960.0
180000,80,0.0,94,475.0,8960.0
180900,80,105.0,994,475.0,9065.0
181800,80,105.0,1894,475.0,9065.0
182172,80,105.0,2266,475.0,9065.0
182700,81,10.0,528,475.0,9075.0
183600,81,50.0,1428,475.0,9115.0
184500,81,55.0,2328,475.0,9120.0
184930,81,70.0,2758,475.0,9135.0
185400,82,0.0,470,475.0,9135.0
186300,82,10.0,1370,475.0,9145.0
187200,82,10.0,2270,475.0,9145.0
187236,82,10.0,2306,475.0,9145.0
188100,83,10.0,864,475.0,9155.0
189000,83,70.0,1764,475.0,9215.0
189900,83,105.0,2664,475.0,9250.0
190800,83,165.0,3564,475.0,9310.0
191082,83,180.0,3846,475.0,9325.0
191700,84,5.0,618,475.0,9330.0
192600,84,15.0,1518,475.0,9340.0
193500,84,50.0,2418,475.0,9375.0
194400,84,150.0,3318,475.0,9475.0
194706,84,150.0,3624,475.0,9475.0
195300,85,20.0,594,475.0,9495.0
196200,85,35.0,1494,475.0,9510.0
196548,85,55.0,1842,475.0,9530.0
197100,86,5.0,552,475.0,9535.0
198000,86,20.0,1452,475.0,9550.0
198628,86,50.0,2080,475.0,9580.0
198900,87,5.0,272,475.0,9585.0
199800,87,45.0,1172,475.0,9625.0
200700,87,135.0,2072,475.0,9715.0
201182,87,155.0,2554,475.0,9735.0
201600,88,5.0,418,475.0,9740.0
202500,88,65.0,1318,475.0,9800.0
203400,88,130.0,2218,475.0,9865.0
204300,88,200.0,3118,475.0,9935.0
204442,88,200.0,3260,475.0,9935.0
205200,89,20.0,758,475.0,9955.0
206100,89,95.0,1658,475.0,10030.0
207000,89,140.0,2558,475.0,10075.0
207336,89,160.0,2894,475.0,10095.0
207900,90,5.0,564,475.0,10100.0
208800,90,20.0,1464,475.0,10115.0
208848,90,20.0,1512,475.0,10115.0
209700,91,30.0,852,475.0,10145.0
