experiment_timestep,episode,episode_score,timestep_episode,best_score,accumulated_score
104400,32,80.0,832,1300.0,12180.0
105300,32,80.0,1732,1300.0,12180.0
106200,32,160.0,2632,1300.0,12260.0
107100,32,280.0,3532,1300.0,12380.0
107677,32,380.0,4109,1300.0,12480.0
108000,33,20.0,323,1300.0,12500.0
108900,33,40.0,1223,1300.0,12520.0
109800,33,200.0,2123,1300.0,12680.0
110700,33,540.0,3023,1300.0,13020.0
111521,33,640.0,3844,1300.0,13120.0
111600,34,0.0,79,1300.0,13120.0
112500,34,160.0,979,1300.0,13280.0
113400,34,460.0,1879,1300.0,13580.0
114300,34,580.0,2779,1300.0,13700.0
114698,34,620.0,3177,1300.0,13740.0
115200,35,20.0,502,1300.0,13760.0
116100,35,80.0,1402,1300.0,13820.0
116981,35,140.0,2283,1300.0,13880.0
117000,36,0.0,19,1300.0,13880.0
117900,36,100.0,919,1300.0,13980.0
118800,36,100.0,1819,1300.0,13980.0
119305,36,100.0,2324,1300.0,13980.0
119700,37,20.0,395,1300.0,14000.0
120600,37,140.0,1295,1300.0,14120.0
121500,37,260.0,2195,1300.0,14240.0
122400,37,400.0,3095,1300.0,14380.0
123300,37,500.0,3995,1300.0,14480.0
123787,37,500.0,4482,1300.0,14480.0
124200,38,20.0,413,1300.0,14500.0
125100,38,80.0,1313,1300.0,14560.0
126000,38,380.0,2213,1300.0,14860.0
126900,38,500.0,3113,1300.0,14980.0
127800,38,560.0,4013,1300.0,15040.0
128051,38,560.0,4264,1300.0,15040.0
128700,39,120.0,649,1300.0,15160.0
129600,39,60.0,1549,1300.0,15100.0
130500,39,120.0,2449,1300.0,15160.0
131400,39,200.0,3349,1300.0,15240.0
131585,39,200.0,3534,1300.0,15240.0
132300,40,0.0,715,1300.0,15240.0
133200,40,220.0,1615,1300.0,15460.0
134100,40,420.0,2515,1300.0,15660.0
135000,40,420.0,3415,1300.0,15660.0
135900,40,580.0,4315,1300.0,15820.0
136800,40,1020.0,5215,1300.0,16260.0
137614,40,1060.0,6029,1300.0,16300.0
137700,41,0.0,86,1300.0,16300.0
138600,41,140.0,986,1300.0,16440.0
139500,41,140.0,1886,1300.0,16440.0
140400,41,140.0,2786,1300.0,16440.0
140460,41,140.0,2846,1300.0,16440.0
141300,42,120.0,840,1300.0,16560.0
142200,42,240.0,1740,1300.0,16680.0
143100,42,320.0,2640,1300.0,16760.0
144000,42,380.0,3540,1300.0,16820.0
144324,42,460.0,3864,1300.0,16900.0
144900,43,60.0,576,1300.0,16960.0
145800,43,520.0,1476,1300.0,17420.0
146700,43,600.0,2376,1300.0,17500.0
147178,43,640.0,2854,1300.0,17540.0
147600,44,0.0,422,1300.0,17540.0
148500,44,180.0,1322,1300.0,17720.0
149400,44,220.0,2222,1300.0,17760.0
150300,44,280.0,3122,1300.0,17820.0
150656,44,480.0,3478,1300.0,18020.0
151200,45,0.0,544,1300.0,18020.0
152100,45,180.0,1444,1300.0,18200.0
153000,45,220.0,2344,1300.0,18240.0
153594,45,220.0,2938,1300.0,18240.0
153900,46,0.0,306,1300.0,18240.0
154800,46,100.0,1206,1300.0,18340.0
155700,46,160.0,2106,1300.0,18400.0
156600,46,280.0,3006,1300.0,18520.0
157438,46,300.0,3844,1300.0,18540.0
157500,47,0.0,62,1300.0,18540.0
158400,47,60.0,962,1300.0,18600.0
159300,47,180.0,1862,1300.0,18720.0
159641,47,280.0,2203,1300.0,18820.0
160200,48,60.0,559,1300.0,18880.0
161100,48,160.0,1459,1300.0,18980.0
161924,48,220.0,2283,1300.0,19040.0
162000,49,0.0,76,1300.0,19040.0
162900,49,100.0,976,1300.0,19140.0
163800,49,160.0,1876,1300.0,19200.0
164700,49,180.0,2776,1300.0,19220.0
164930,49,180.0,3006,1300.0,19220.0
165600,50,200.0,670,1300.0,19420.0
166500,50,380.0,1570,1300.0,19600.0
167400,50,440.0,2470,1300.0,19660.0
168300,50,480.0,3370,1300.0,19700.0
169200,50,100.0,4270,1300.0,19320.0
